pair,timeframe,strategy,family,rr,trail_trigger,trail_step,trades,wins,winrate,net_pnl,pnl_per_day,days_ge_20,active_days
XAUUSDm,3m,rsi_trend_20_80,regime,2.0,2.0,1.0,118,53,44.92,385.52,11.34,9,34
XAUUSDm,3m,engulfing_body_0.8,pattern,2.0,2.0,1.0,365,156,42.74,453.35,9.86,8,46
XAUUSDm,3m,rsi_revert_20_80,regime,2.0,2.0,1.0,121,55,45.45,299.65,8.81,6,34
XAUUSDm,3m,donchian_break_20_k0.0,structure,2.0,2.0,1.0,0,0,0.0,0.0,0.0,0,0
XAUUSDm,3m,donchian_break_50_k0.0,structure,2.0,2.0,1.0,0,0,0.0,0.0,0.0,0,0
XAUUSDm,5m,sma_cross_5_50,indicator,2.0,2.0,1.0,5480,2369,43.23,6942.99,138.86,42,50
XAUUSDm,5m,sma_cross_10_50,indicator,2.0,2.0,1.0,5477,2362,43.13,6837.44,136.75,41,50
XAUUSDm,5m,ema_cross_5_50,indicator,2.0,2.0,1.0,5487,2337,42.59,6760.72,135.21,41,50
XAUUSDm,5m,ema_cross_13_34,indicator,2.0,2.0,1.0,5487,2341,42.66,6752.8,135.06,41,50
XAUUSDm,5m,ema_cross_5_20,indicator,2.0,2.0,1.0,5492,2357,42.92,6735.59,134.71,43,50
XAUUSDm,5m,ema_cross_8_20,indicator,2.0,2.0,1.0,5489,2347,42.76,6722.72,134.45,43,50
XAUUSDm,5m,ema_cross_8_34,indicator,2.0,2.0,1.0,5488,2329,42.44,6714.24,134.28,41,50
XAUUSDm,5m,sma_cross_13_34,indicator,2.0,2.0,1.0,5480,2340,42.7,6693.59,133.87,43,50
XAUUSDm,5m,ema_cross_10_50,indicator,2.0,2.0,1.0,5480,2344,42.77,6673.75,133.48,41,50
XAUUSDm,5m,sma_cross_5_20,indicator,2.0,2.0,1.0,5490,2353,42.86,6653.88,133.08,42,50
XAUUSDm,5m,sma_cross_8_34,indicator,2.0,2.0,1.0,5487,2317,42.23,6530.79,130.62,41,50
XAUUSDm,5m,sma_cross_8_20,indicator,2.0,2.0,1.0,5499,2335,42.46,6373.69,127.47,42,50
XAUUSDm,5m,pressure_thrust_0.2,custom,2.0,2.0,1.0,4711,1986,42.16,5200.42,104.01,42,50
XAUUSDm,5m,z_break_0.8,volatility,2.0,2.0,1.0,3884,1638,42.17,4694.4,93.89,41,50
XAUUSDm,5m,pressure_thrust_0.35,custom,2.0,2.0,1.0,3928,1660,42.26,4426.35,88.53,41,50
XAUUSDm,5m,z_revert_0.8,volatility,2.0,2.0,1.0,3894,1724,44.27,4354.01,87.08,37,50
XAUUSDm,5m,z_break_1.0,volatility,2.0,2.0,1.0,3314,1387,41.85,4065.81,81.32,40,50
