pair,timeframe,strategy,direction,entry_ts,exit_ts,entry,exit,qty,pnl,reason
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-09 08:10:00,2026-01-09 08:25:00,20.24649,20.25706,5.0,0.01233,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-09 08:50:00,2026-01-09 09:15:00,20.09919,20.11075,5.0,0.0176,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-09 14:10:00,2026-01-09 14:20:00,20.11147,20.09432,5.0,-0.12593,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-10 22:10:00,2026-01-10 22:45:00,20.02415,20.0545,5.0,0.11165,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-11 12:20:00,2026-01-11 12:25:00,20.11474,20.11977,5.0,-0.06541,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-11 12:30:00,2026-01-11 12:35:00,20.12094,20.11716,5.0,-0.02134,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-11 12:45:00,2026-01-11 13:00:00,20.12628,20.14554,5.0,-0.13655,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-11 20:10:00,2026-01-11 20:15:00,20.04989,20.04019,5.0,-0.08859,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-11 20:20:00,2026-01-11 20:40:00,20.02842,20.05857,5.0,0.11065,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-11 23:05:00,2026-01-11 23:15:00,19.95822,20.02822,5.0,0.31001,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-12 00:40:00,2026-01-12 00:50:00,19.79377,19.72036,5.0,-0.40654,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-12 08:40:00,2026-01-12 08:45:00,19.76293,19.69437,5.0,-0.38225,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-12 08:50:00,2026-01-12 09:40:00,19.70348,19.73147,5.0,0.1005,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-12 16:30:00,2026-01-12 16:35:00,19.94283,19.93883,5.0,-0.01988,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-13 05:15:00,2026-01-13 05:20:00,19.94358,19.99358,5.0,-0.28994,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-13 05:25:00,2026-01-13 05:30:00,20.02271,20.01281,5.0,0.00947,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-13 09:25:00,2026-01-13 09:40:00,20.13935,20.06935,5.0,0.30979,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-13 13:15:00,2026-01-13 13:20:00,19.96793,19.95135,5.0,-0.12282,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-13 16:00:00,2026-01-13 16:05:00,20.21907,20.31471,5.0,-0.51871,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-13 16:10:00,2026-01-13 16:20:00,20.28029,20.26604,5.0,0.03068,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-13 22:15:00,2026-01-13 22:40:00,20.84194,20.84202,5.0,-0.04207,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-14 05:05:00,2026-01-14 05:20:00,20.51995,20.53525,5.0,0.03544,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-14 14:15:00,2026-01-14 14:20:00,20.59086,20.64826,5.0,-0.32823,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-14 14:25:00,2026-01-14 14:30:00,20.65188,20.65403,5.0,-0.05205,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-14 14:40:00,2026-01-14 14:45:00,20.74547,20.78587,5.0,-0.24352,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-14 14:50:00,2026-01-14 15:05:00,20.95509,20.95002,5.0,-0.01657,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-15 03:40:00,2026-01-15 04:10:00,20.84015,20.90419,5.0,0.27844,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-15 13:50:00,2026-01-15 14:00:00,21.13349,21.1321,5.0,-0.03529,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-16 06:45:00,2026-01-16 07:15:00,20.81521,20.74521,5.0,0.30844,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-16 10:25:00,2026-01-16 10:30:00,20.68637,20.68633,5.0,-0.04157,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-16 13:20:00,2026-01-16 13:25:00,20.81008,20.82688,5.0,-0.12566,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-16 20:10:00,2026-01-16 20:15:00,20.60472,20.67472,5.0,0.30872,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-16 21:00:00,2026-01-16 21:15:00,20.84703,20.77679,5.0,0.30955,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-17 02:10:00,2026-01-17 02:25:00,20.71653,20.71302,5.0,-0.05899,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-17 07:05:00,2026-01-17 07:35:00,20.68628,20.6888,5.0,-0.02879,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-17 22:15:00,2026-01-17 22:20:00,20.69698,20.70258,5.0,-0.01338,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-17 22:25:00,2026-01-17 22:35:00,20.69676,20.68863,5.0,-0.08201,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-17 22:40:00,2026-01-17 22:45:00,20.67827,20.68046,5.0,-0.03041,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-18 01:10:00,2026-01-18 01:30:00,20.6362,20.65533,5.0,0.05438,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-18 13:20:00,2026-01-18 13:25:00,20.65797,20.63915,5.0,-0.13539,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-18 13:30:00,2026-01-18 14:15:00,20.64918,20.71918,5.0,0.30863,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-18 23:10:00,2026-01-18 23:15:00,20.40602,20.37849,5.0,-0.17843,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-18 23:20:00,2026-01-18 23:25:00,20.39699,20.32015,5.0,-0.42489,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-18 23:30:00,2026-01-18 23:45:00,20.21556,20.1706,5.0,-0.26516,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-19 08:25:00,2026-01-19 08:30:00,19.94268,19.92123,5.0,0.0674,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-19 16:55:00,2026-01-19 17:05:00,19.96752,19.9418,5.0,0.08871,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-19 23:00:00,2026-01-19 23:05:00,19.80283,19.78552,5.0,-0.12616,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-20 05:05:00,2026-01-20 05:10:00,19.50513,19.45535,5.0,-0.28788,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-20 05:15:00,2026-01-20 05:30:00,19.43423,19.52494,5.0,0.41458,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-20 14:20:00,2026-01-20 14:30:00,19.10961,19.1251,5.0,0.03921,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-20 14:50:00,2026-01-20 15:00:00,19.07528,19.02414,5.0,-0.2938,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-20 15:05:00,2026-01-20 15:25:00,19.00307,19.15848,5.0,0.7389,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-20 22:35:00,2026-01-20 22:50:00,18.49423,18.52283,5.0,0.10599,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-21 01:55:00,2026-01-21 02:05:00,18.36155,18.45453,5.0,0.42807,target
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-21 07:05:00,2026-01-21 07:20:00,18.51167,18.51699,5.0,-0.06364,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-21 11:55:00,2026-01-21 12:00:00,18.27299,18.22299,5.0,-0.2865,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-21 12:05:00,2026-01-21 12:10:00,18.21694,18.1731,5.0,-0.25558,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,1,2026-01-21 12:15:00,2026-01-21 12:20:00,18.15818,18.14316,5.0,-0.11138,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-21 14:15:00,2026-01-21 14:30:00,18.47278,18.46892,5.0,-0.01764,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-21 15:20:00,2026-01-21 15:50:00,18.69569,18.64532,5.0,0.21451,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-21 19:30:00,2026-01-21 19:35:00,18.59845,18.73231,5.0,-0.70661,stop/trail
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,-1,2026-01-21 19:40:00,2026-01-21 20:45:00,18.816,18.69245,5.0,0.58025,stop/trail
