pair,timeframe,strategy,trades,net_pnl,avg_daily_pnl,win_rate,max_dd
BTCXAUm,1m,S11_ema_rsi_long_10_34,7719,-226.97,-3.55,26.97,-226.97
BTCXAUm,1m,S12_ema_rsi_short_10_34,8088,-231.64,-3.62,27.99,-231.75
BTCXAUm,1m,S09_ema_rsi_short_9_30,8086,-234.5,-3.66,27.9,-234.88
BTCXAUm,1m,S08_ema_rsi_long_9_30,7747,-240.7,-3.76,26.6,-240.86
BTCXAUm,1m,S06_ema_rsi_short_8_21,9054,-263.61,-4.12,28.11,-263.73
BTCXAUm,1m,S43_custom_both_5_30,7932,-268.63,-4.2,27.45,-269.0
BTCXAUm,1m,S05_ema_rsi_long_8_21,8766,-270.85,-4.23,27.13,-270.91
BTCXAUm,1m,S03_ema_rsi_short_5_20,9862,-293.36,-4.58,28.69,-293.36
BTCXAUm,1m,S02_ema_rsi_long_5_20,9594,-299.87,-4.69,27.82,-300.28
BTCXAUm,1m,S10_ema_rsi_both_10_34,15624,-449.71,-7.03,27.57,-449.71
BTCXAUm,1m,S07_ema_rsi_both_9_30,15619,-468.76,-7.32,27.2,-468.81
BTCXAUm,1m,S04_ema_rsi_both_8_21,17514,-524.54,-8.2,27.58,-524.54
BTCXAUm,1m,S01_ema_rsi_both_5_20,18877,-572.32,-8.94,28.31,-572.43
BTCXAUm,1m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
BTCXAUm,1m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S22_bb_rsi_long_40_2p8,389,-4.59,-0.05,39.07,-7.21
BTCXAUm,3m,S21_bb_rsi_both_40_2p8,727,-7.94,-0.09,38.51,-12.67
BTCXAUm,3m,S20_bb_rsi_long_30_2p6,583,-12.65,-0.14,35.85,-14.38
BTCXAUm,3m,S19_bb_rsi_both_30_2p6,1047,-15.97,-0.18,36.2,-20.57
BTCXAUm,3m,S18_bb_rsi_long_30_2p2,1163,-19.19,-0.21,36.2,-22.25
BTCXAUm,3m,S16_bb_rsi_long_20_2p4,808,-20.49,-0.23,35.77,-22.58
BTCXAUm,3m,S15_bb_rsi_both_20_2p4,1488,-29.63,-0.33,36.02,-35.25
BTCXAUm,3m,S17_bb_rsi_both_30_2p2,2120,-34.65,-0.38,35.61,-39.8
BTCXAUm,3m,S14_bb_rsi_long_20_2p0,1608,-44.56,-0.49,35.2,-46.04
BTCXAUm,3m,S26_donchian_short_20,1324,-54.29,-0.6,28.25,-54.6
BTCXAUm,3m,S38_structure_long_8_32,1569,-56.22,-0.62,29.64,-57.01
BTCXAUm,3m,S42_structure_long_12_36,1550,-57.46,-0.64,29.55,-58.55
BTCXAUm,3m,S36_structure_long_7_28,1596,-60.14,-0.67,30.01,-60.52
BTCXAUm,3m,S40_structure_long_10_30,1583,-60.54,-0.67,29.75,-61.06
BTCXAUm,3m,S34_structure_long_6_24,1612,-66.73,-0.74,30.02,-66.86
BTCXAUm,3m,S13_bb_rsi_both_20_2p0,3019,-71.03,-0.78,35.71,-73.96
BTCXAUm,3m,S44_custom_short_5_30,2062,-79.73,-0.88,29.63,-79.94
BTCXAUm,3m,S25_donchian_both_20,2467,-104.07,-1.14,28.05,-104.34
BTCXAUm,3m,S37_structure_both_8_32,3176,-122.13,-1.34,29.97,-122.13
BTCXAUm,3m,S41_structure_both_12_36,3143,-124.51,-1.37,29.81,-124.78
BTCXAUm,3m,S39_structure_both_10_30,3208,-128.18,-1.41,30.05,-128.19
BTCXAUm,3m,S35_structure_both_7_28,3229,-128.46,-1.41,30.23,-128.47
BTCXAUm,3m,S33_structure_both_6_24,3262,-135.84,-1.49,30.32,-135.84
BTCXAUm,3m,S11_ema_rsi_long_10_34,3708,-147.34,-1.64,28.16,-147.44
BTCXAUm,3m,S12_ema_rsi_short_10_34,4095,-151.25,-1.66,30.55,-151.44
BTCXAUm,3m,S08_ema_rsi_long_9_30,3703,-156.81,-1.74,27.87,-156.89
BTCXAUm,3m,S09_ema_rsi_short_9_30,4108,-159.99,-1.76,30.4,-160.05
BTCXAUm,3m,S06_ema_rsi_short_8_21,4646,-170.44,-1.87,31.3,-170.51
BTCXAUm,3m,S43_custom_both_5_30,4005,-171.71,-1.89,28.96,-171.76
BTCXAUm,3m,S05_ema_rsi_long_8_21,4303,-178.53,-1.98,28.68,-178.6
BTCXAUm,3m,S03_ema_rsi_short_5_20,5138,-196.84,-2.16,32.39,-196.93
BTCXAUm,3m,S02_ema_rsi_long_5_20,4759,-200.61,-2.23,29.9,-200.7
BTCXAUm,3m,S10_ema_rsi_both_10_34,7727,-295.12,-3.24,29.43,-295.29
BTCXAUm,3m,S07_ema_rsi_both_9_30,7726,-314.97,-3.46,29.17,-315.0
BTCXAUm,3m,S04_ema_rsi_both_8_21,8820,-348.46,-3.83,29.92,-348.51
BTCXAUm,3m,S01_ema_rsi_both_5_20,9661,-392.96,-4.32,31.07,-393.04
BTCXAUm,3m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S48_custom_short_10_40,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S49_custom_both_12_45,0,0.0,0.0,0.0,0.0
BTCXAUm,3m,S50_custom_short_12_45,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S21_bb_rsi_both_40_2p8,476,8.94,0.1,43.91,-4.69
BTCXAUm,5m,S19_bb_rsi_both_30_2p6,657,8.28,0.09,43.07,-5.12
BTCXAUm,5m,S20_bb_rsi_long_30_2p6,351,2.61,0.03,43.3,-3.36
BTCXAUm,5m,S22_bb_rsi_long_40_2p8,255,0.92,0.01,43.92,-3.49
BTCXAUm,5m,S18_bb_rsi_long_30_2p2,703,-6.1,-0.07,41.54,-9.56
BTCXAUm,5m,S17_bb_rsi_both_30_2p2,1269,-8.21,-0.09,41.69,-11.63
BTCXAUm,5m,S16_bb_rsi_long_20_2p4,484,-11.77,-0.13,38.64,-12.08
BTCXAUm,5m,S15_bb_rsi_both_20_2p4,900,-14.78,-0.16,40.11,-16.06
BTCXAUm,5m,S14_bb_rsi_long_20_2p0,957,-25.99,-0.29,38.66,-26.24
BTCXAUm,5m,S26_donchian_short_20,790,-32.82,-0.36,30.51,-33.19
BTCXAUm,5m,S40_structure_long_10_30,962,-40.97,-0.46,29.73,-40.97
BTCXAUm,5m,S36_structure_long_7_28,969,-41.0,-0.46,30.24,-41.11
BTCXAUm,5m,S13_bb_rsi_both_20_2p0,1772,-42.41,-0.47,39.5,-43.34
BTCXAUm,5m,S34_structure_long_6_24,975,-42.67,-0.47,30.77,-42.72
BTCXAUm,5m,S38_structure_long_8_32,953,-43.3,-0.48,29.07,-43.3
BTCXAUm,5m,S42_structure_long_12_36,945,-46.89,-0.52,28.68,-46.89
BTCXAUm,5m,S44_custom_short_5_30,1341,-50.57,-0.56,32.07,-50.73
BTCXAUm,5m,S25_donchian_both_20,1493,-72.62,-0.81,28.94,-72.94
BTCXAUm,5m,S39_structure_both_10_30,1954,-80.03,-0.89,30.25,-80.03
BTCXAUm,5m,S35_structure_both_7_28,1968,-81.94,-0.91,30.64,-81.94
BTCXAUm,5m,S37_structure_both_8_32,1938,-82.76,-0.92,29.72,-82.76
BTCXAUm,5m,S33_structure_both_6_24,1988,-82.87,-0.92,31.44,-82.87
BTCXAUm,5m,S41_structure_both_12_36,1916,-87.42,-0.97,29.49,-87.42
BTCXAUm,5m,S12_ema_rsi_short_10_34,2604,-96.29,-1.07,31.41,-96.62
BTCXAUm,5m,S11_ema_rsi_long_10_34,2265,-100.46,-1.12,29.36,-100.63
BTCXAUm,5m,S08_ema_rsi_long_9_30,2261,-102.08,-1.13,29.23,-102.24
BTCXAUm,5m,S09_ema_rsi_short_9_30,2601,-105.77,-1.18,30.95,-106.29
BTCXAUm,5m,S43_custom_both_5_30,2558,-114.45,-1.27,30.34,-114.7
BTCXAUm,5m,S06_ema_rsi_short_8_21,2993,-115.01,-1.28,32.11,-115.34
BTCXAUm,5m,S05_ema_rsi_long_8_21,2639,-119.91,-1.33,30.24,-120.11
BTCXAUm,5m,S03_ema_rsi_short_5_20,3352,-130.28,-1.45,34.28,-130.46
BTCXAUm,5m,S02_ema_rsi_long_5_20,2994,-139.59,-1.55,32.03,-139.77
BTCXAUm,5m,S10_ema_rsi_both_10_34,4829,-193.61,-2.15,30.48,-193.87
BTCXAUm,5m,S07_ema_rsi_both_9_30,4809,-204.62,-2.27,30.13,-205.07
BTCXAUm,5m,S04_ema_rsi_both_8_21,5551,-229.56,-2.55,31.36,-229.83
BTCXAUm,5m,S01_ema_rsi_both_5_20,6201,-260.57,-2.9,33.41,-260.77
BTCXAUm,5m,S23_donchian_both_15,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S24_donchian_short_15,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S27_donchian_both_30,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S28_donchian_short_30,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S29_donchian_both_40,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S30_donchian_short_40,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S31_donchian_both_50,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S32_donchian_short_50,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S45_custom_both_8_34,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S46_custom_short_8_34,0,0.0,0.0,0.0,0.0
BTCXAUm,5m,S47_custom_both_10_40,0,0.0,0.0,0.0,0.0
