time,open,high,low,close,tick_volume,spread,real_volume
2026-01-13 17:45:00,60.64,60.708,60.623,60.69,137,18,0
2026-01-13 17:48:00,60.689,60.722,60.633,60.654,140,18,0
2026-01-13 17:51:00,60.656,60.671,60.562,60.566,143,18,0
2026-01-13 17:54:00,60.571,60.595,60.512,60.545,137,18,0
2026-01-13 17:57:00,60.548,60.576,60.521,60.563,128,18,0
2026-01-13 18:00:00,60.563,61.081,60.545,61.064,835,18,0
2026-01-13 18:03:00,61.06,61.067,60.822,60.875,378,18,0
2026-01-13 18:06:00,60.871,60.925,60.827,60.867,230,18,0
2026-01-13 18:09:00,60.863,60.963,60.838,60.918,223,18,0
2026-01-13 18:12:00,60.919,60.95,60.872,60.922,130,18,0
2026-01-13 18:15:00,60.921,60.945,60.848,60.862,125,18,0
2026-01-13 18:18:00,60.865,60.897,60.828,60.893,127,18,0
2026-01-13 18:21:00,60.889,60.897,60.824,60.852,127,18,0
2026-01-13 18:24:00,60.85,60.934,60.794,60.895,133,18,0
2026-01-13 18:27:00,60.891,60.995,60.857,60.995,141,18,0
2026-01-13 18:30:00,60.988,61.125,60.975,61.114,136,18,0
2026-01-13 18:33:00,61.115,61.164,61.074,61.112,190,18,0
2026-01-13 18:36:00,61.112,61.145,60.935,60.963,184,18,0
2026-01-13 18:39:00,60.965,61.032,60.942,60.977,155,18,0
2026-01-13 18:42:00,60.978,61.018,60.912,60.999,134,18,0
2026-01-13 18:45:00,60.997,60.997,60.931,60.939,132,18,0
2026-01-13 18:48:00,60.945,61.073,60.932,61.069,111,18,0
2026-01-13 18:51:00,61.07,61.085,61.035,61.047,123,18,0
2026-01-13 18:54:00,61.047,61.066,60.993,61.003,109,18,0
2026-01-13 18:57:00,61.005,61.068,60.986,61.054,136,18,0
2026-01-13 19:00:00,61.067,61.07,61.014,61.038,123,18,0
2026-01-13 19:03:00,61.036,61.065,61.0,61.06,116,18,0
2026-01-13 19:06:00,61.064,61.066,61.027,61.045,83,18,0
2026-01-13 19:09:00,61.043,61.043,60.988,60.995,86,18,0
2026-01-13 19:12:00,60.999,61.021,60.955,60.978,117,18,0
2026-01-13 19:15:00,60.977,61.022,60.204,60.592,866,18,0
2026-01-13 19:18:00,60.588,60.917,60.581,60.861,470,18,0
2026-01-13 19:21:00,60.861,60.911,60.774,60.891,284,18,0
2026-01-13 19:24:00,60.886,60.96,60.86,60.95,249,18,0
2026-01-13 19:27:00,60.95,60.97,60.854,60.942,426,18,0
2026-01-13 19:30:00,60.946,60.987,60.904,60.952,185,18,0
2026-01-13 19:33:00,60.951,60.951,60.817,60.867,147,18,0
2026-01-13 19:36:00,60.867,60.882,60.709,60.867,204,18,0
2026-01-13 19:39:00,60.872,60.951,60.871,60.874,118,18,0
2026-01-13 19:42:00,60.875,60.893,60.843,60.893,89,18,0
2026-01-13 19:45:00,60.889,60.912,60.861,60.87,66,18,0
2026-01-13 19:48:00,60.87,60.91,60.87,60.882,73,18,0
2026-01-13 19:51:00,60.884,60.936,60.884,60.898,85,18,0
2026-01-13 19:54:00,60.893,60.93,60.887,60.904,71,18,0
2026-01-13 19:57:00,60.904,60.908,60.824,60.829,67,18,0
2026-01-13 20:00:00,60.827,60.831,60.779,60.81,90,18,0
2026-01-13 20:03:00,60.811,60.826,60.749,60.79,104,18,0
2026-01-13 20:06:00,60.791,60.925,60.791,60.906,99,18,0
2026-01-13 20:09:00,60.906,60.927,60.885,60.909,67,18,0
2026-01-13 20:12:00,60.912,60.918,60.894,60.916,62,18,0
2026-01-13 20:15:00,60.917,60.93,60.916,60.926,52,18,0
2026-01-13 20:18:00,60.925,60.932,60.881,60.888,46,18,0
2026-01-13 20:21:00,60.888,60.919,60.876,60.919,48,18,0
2026-01-13 20:24:00,60.92,60.929,60.881,60.905,70,18,0
2026-01-13 20:27:00,60.902,60.932,60.895,60.926,45,18,0
2026-01-13 20:30:00,60.926,60.926,60.843,60.845,58,18,0
2026-01-13 20:33:00,60.842,60.855,60.806,60.831,62,18,0
2026-01-13 20:36:00,60.835,60.842,60.812,60.822,45,18,0
