time,open,high,low,close,tick_volume,spread,real_volume
2026-01-23 05:15:00,18.11387,18.11439,18.09582,18.09904,69,548,0
2026-01-23 05:20:00,18.10036,18.1012,18.05596,18.05848,83,548,0
2026-01-23 05:25:00,18.05707,18.0639,18.03669,18.061,109,548,0
2026-01-23 05:30:00,18.060670000000002,18.07281,18.04355,18.06976,118,547,0
2026-01-23 05:35:00,18.06831,18.07402,18.0478,18.04854,96,548,0
2026-01-23 05:40:00,18.05136,18.05983,18.04468,18.04468,86,547,0
2026-01-23 05:45:00,18.04423,18.04423,18.01894,18.02138,95,547,0
2026-01-23 05:50:00,18.02118,18.02168,18.00034,18.01734,98,546,0
2026-01-23 05:55:00,18.01862,18.04432,18.00013,18.03936,101,547,0
2026-01-23 06:00:00,18.04079,18.06421,18.02484,18.06421,117,547,0
2026-01-23 06:05:00,18.06268,18.08597,18.06128,18.08269,158,547,0
2026-01-23 06:10:00,18.08116,18.12226,18.08045,18.09413,198,548,0
2026-01-23 06:15:00,18.09275,18.10153,18.07768,18.09437,105,548,0
2026-01-23 06:20:00,18.09383,18.09383,18.04305,18.04305,95,548,0
2026-01-23 06:25:00,18.0413,18.05593,18.01982,18.04121,173,548,0
2026-01-23 06:30:00,18.04263,18.06768,18.03842,18.05675,128,548,0
2026-01-23 06:35:00,18.0572,18.06097,18.03822,18.05551,106,548,0
2026-01-23 06:40:00,18.05762,18.08761,18.05762,18.07453,99,548,0
2026-01-23 06:45:00,18.07305,18.08143,18.05856,18.08023,113,548,0
2026-01-23 06:50:00,18.07823,18.08133,18.04075,18.04376,113,548,0
2026-01-23 06:55:00,18.04174,18.05164,18.0339,18.04488,106,548,0
2026-01-23 07:00:00,18.04639,18.05561,18.02752,18.0457,126,548,0
2026-01-23 07:05:00,18.04711,18.05167,18.02923,18.03448,116,548,0
2026-01-23 07:10:00,18.03468,18.04716,18.03302,18.0458,99,548,0
2026-01-23 07:15:00,18.04719,18.05316,18.04298,18.04678,90,548,0
2026-01-23 07:20:00,18.0489,18.08231,18.04055,18.07965,90,547,0
2026-01-23 07:25:00,18.08114,18.08224,18.05867,18.05923,88,548,0
2026-01-23 07:30:00,18.05776,18.07648,18.05322,18.06054,103,548,0
2026-01-23 07:35:00,18.06095,18.07826,18.05897,18.073,107,548,0
2026-01-23 07:40:00,18.07364,18.08692,18.0575,18.08692,134,548,0
