time,open,high,low,close,volume
2026-03-24 09:10:00,70935.94,70970.03,70841.62,70847.5,258
2026-03-24 09:15:00,70848.16,71016.17,70821.53,71016.17,283
2026-03-24 09:20:00,71014.26,71027.57,70910.64,70937.31,211
2026-03-24 09:25:00,70936.49,71016.92,70936.34,70991.73,215
2026-03-24 09:30:00,70989.6,71071.97,70949.38,70998.75,275
2026-03-24 09:35:00,70998.3,71066.4,70998.3,71066.4,244
2026-03-24 09:40:00,71067.76,71224.49,71067.76,71209.9,330
2026-03-24 09:45:00,71209.69,71227.43,71150.7,71197.54,222
2026-03-24 09:50:00,71199.11,71319.0,71126.47,71299.89,287
2026-03-24 09:55:00,71299.61,71354.19,71271.97,71300.23,242
2026-03-24 10:00:00,71301.19,71313.5,71194.75,71237.38,293
2026-03-24 10:05:00,71237.66,71313.48,71217.22,71296.07,207
2026-03-24 10:10:00,71301.53,71317.21,71210.62,71244.62,186
2026-03-24 10:15:00,71238.92,71238.92,71119.09,71181.53,249
2026-03-24 10:20:00,71179.03,71238.66,71122.77,71162.43,243
2026-03-24 10:25:00,71161.49,71171.01,71082.72,71091.98,186
2026-03-24 10:30:00,71099.58,71145.44,71062.03,71092.62,242
2026-03-24 10:35:00,71092.7,71243.16,71082.19,71222.44,248
2026-03-24 10:40:00,71219.64,71262.93,71181.8,71231.71,276
2026-03-24 10:45:00,71229.97,71231.45,71122.7,71160.28,237
2026-03-24 10:50:00,71162.23,71208.73,71138.45,71189.56,207
2026-03-24 10:55:00,71181.68,71265.18,71181.32,71252.55,181
2026-03-24 11:00:00,71245.37,71255.88,70956.82,70996.57,505
2026-03-24 11:05:00,71009.75,71167.57,71000.5,71158.24,301
2026-03-24 11:10:00,71157.78,71185.22,71049.58,71092.31,286
2026-03-24 11:15:00,71091.03,71108.12,70924.48,71004.46,336
2026-03-24 11:20:00,71006.84,71033.73,70959.51,71032.57,239
2026-03-24 11:25:00,71032.48,71068.79,70964.92,71044.4,228
2026-03-24 11:30:00,71043.89,71170.61,71005.79,71170.61,327
2026-03-24 11:35:00,71174.44,71247.45,71110.4,71201.34,368
2026-03-24 11:40:00,71199.58,71313.77,71182.46,71219.46,318
2026-03-24 11:45:00,71221.15,71304.31,71199.95,71260.03,293
2026-03-24 11:50:00,71260.6,71267.72,70996.12,71080.65,353
2026-03-24 11:55:00,71077.96,71138.98,71070.85,71135.11,202
2026-03-24 12:00:00,71137.45,71165.94,70990.47,70992.0,301
2026-03-24 12:05:00,70990.14,71039.26,70962.4,71035.49,265
2026-03-24 12:10:00,71039.93,71098.54,70949.19,71056.98,257
2026-03-24 12:15:00,71055.78,71071.38,70969.84,71024.23,285
2026-03-24 12:20:00,71022.07,71057.23,70980.91,71039.32,272
2026-03-24 12:25:00,71038.7,71095.38,71005.29,71071.52,211
2026-03-24 12:30:00,71072.22,71072.22,70853.91,70891.9,365
2026-03-24 12:35:00,70886.38,70944.04,70832.08,70898.63,357
2026-03-24 12:40:00,70896.89,70976.51,70867.06,70875.21,253
2026-03-24 12:45:00,70876.59,70923.13,70843.31,70862.0,278
2026-03-24 12:50:00,70861.89,71016.42,70861.89,70967.42,318
2026-03-24 12:55:00,70965.87,70973.27,70907.54,70945.52,223
2026-03-24 13:00:00,70938.64,71047.58,70923.52,70959.81,292
2026-03-24 13:05:00,70965.04,71010.4,70625.64,70706.87,772
2026-03-24 13:10:00,70707.63,70868.44,70700.87,70802.47,423
2026-03-24 13:15:00,70802.69,70851.2,70585.06,70596.91,445
2026-03-24 13:20:00,70596.38,70664.89,70548.42,70624.7,475
2026-03-24 13:25:00,70627.25,70688.87,70561.66,70583.09,354
2026-03-24 13:30:00,70583.57,70766.82,70538.83,70709.99,1155
2026-03-24 13:35:00,70710.68,70745.58,70437.93,70485.62,1196
2026-03-24 13:40:00,70484.75,70485.12,70222.06,70297.16,1066
2026-03-24 13:45:00,70296.21,70427.09,70186.04,70237.17,945
2026-03-24 13:50:00,70232.66,70322.49,69899.96,70063.21,1156
2026-03-24 13:55:00,70062.41,70159.12,69946.95,70081.29,812
2026-03-24 14:00:00,70082.19,70285.26,70054.08,70277.75,904
2026-03-24 14:05:00,70283.72,70443.99,70194.08,70291.01,784
2026-03-24 14:10:00,70300.36,70322.01,69734.54,69843.01,977
2026-03-24 14:15:00,69842.89,69948.56,69762.34,69885.39,1017
2026-03-24 14:20:00,69889.79,69990.35,69805.54,69891.5,903
2026-03-24 14:25:00,69888.5,70063.3,69808.35,69970.23,729
